epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Gun,val/AP/Knife,val/AP/Pliers,val/AP/Scissors,val/AP/Wrench,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,349,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
0,363,,,,,,,,,,,,,,,,,,0.4452478885650635,0.3559422791004181,0.32563963532447815,0.25290438532829285,0.3430168926715851,0.6563252806663513,0.6933923363685608,0.3642573952674866,0.6433342695236206,5.169535160064697,0.671018123626709,0.344550222158432,0.3049108684062958,0.6307439208030701,0.7602516412734985,0.5796324014663696
0,363,3891.537353515625,3881.639404296875,3719.366455078125,25.185277938842773,5.747154235839844,0.07620252668857574,0.07819391787052155,0.08367005735635757,0.954078197479248,0.9914047718048096,0.9602479934692383,0.2673804461956024,0.27143430709838867,0.28673043847084045,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,499,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,549,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,649,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,699,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
1,727,,,,,,,,,,,,,,,,,,0.5281306505203247,0.43076449632644653,0.3771372139453888,0.3262183368206024,0.39802467823028564,0.6988248825073242,0.7492997646331787,0.4258815348148346,0.6784729957580566,4.794369220733643,0.7351140379905701,0.4120550751686096,0.4085231423377991,0.6675105094909668,0.7990094423294067,0.6305279731750488
1,727,3895.764404296875,3893.494140625,3695.043701171875,12.036163330078125,5.195136547088623,0.06965985894203186,0.07221721112728119,0.07913016527891159,0.8340997099876404,0.8752674460411072,0.8511233329772949,0.2448083907365799,0.25074368715286255,0.2692530155181885,,,,,,,,,,,,,,,,,,,
2,749,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,799,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,849,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,899,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,949,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,999,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,1049,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
2,1091,,,,,,,,,,,,,,,,,,0.5709136724472046,0.44838279485702515,0.3783070147037506,0.3173920512199402,0.4357650876045227,0.7303115129470825,0.7756372094154358,0.45901602506637573,0.6944751143455505,4.590160846710205,0.7582777142524719,0.43015211820602417,0.4471595883369446,0.6805562376976013,0.8006339073181152,0.6802266240119934
2,1091,3895.865966796875,3884.705322265625,3711.630615234375,9.591718673706055,4.890002727508545,0.06553659588098526,0.06751708686351776,0.0749317929148674,0.7812679409980774,0.8250293135643005,0.8073520660400391,0.22914010286331177,0.23490546643733978,0.2541672885417938,,,,,,,,,,,,,,,,,,,
3,1099,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1199,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1249,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1299,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1349,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1399,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1449,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
3,1455,,,,,,,,,,,,,,,,,,0.5596269369125366,0.49210405349731445,0.4248039424419403,0.36794421076774597,0.44587433338165283,0.7576082348823547,0.7968944311141968,0.4909566342830658,0.7094382643699646,4.42264986038208,0.7943291664123535,0.45807069540023804,0.48099207878112793,0.6915326118469238,0.8414607644081116,0.6938652396202087
3,1455,3896.92724609375,3883.997314453125,3715.3310546875,8.703071594238281,4.805352687835693,0.06363917142152786,0.0656035840511322,0.07178883999586105,0.7694242596626282,0.8097584247589111,0.7919373512268066,0.22839586436748505,0.23482133448123932,0.25131961703300476,,,,,,,,,,,,,,,,,,,
4,1499,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1549,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1599,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1649,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1699,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1749,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1799,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
4,1819,,,,,,,,,,,,,,,,,,0.6113624572753906,0.4640088677406311,0.4354270398616791,0.4044189453125,0.47472426295280457,0.7547791600227356,0.8232870697975159,0.5105401277542114,0.7079566717147827,4.344265460968018,0.7997457981109619,0.4779883325099945,0.5025425553321838,0.685958981513977,0.8667909502983093,0.6767911911010742
4,1819,3897.206787109375,3894.934814453125,3704.2236328125,7.343481063842773,4.517967224121094,0.05969716235995293,0.06185276806354523,0.06839742511510849,0.7186564207077026,0.7611018419265747,0.7453217506408691,0.21413469314575195,0.2199418991804123,0.23749825358390808,,,,,,,,,,,,,,,,,,,
5,1849,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,1899,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,1949,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,1999,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,2049,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,2099,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
5,2149,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,
